method,score
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
youtube,1
app,1
app,1
app,1
app,1
app,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1
alone,1